Date,Open,High,Low,Close,Adj Close,Volume,10avg,20avg,60avg,MACD_line,MACD_signal,MACD_hist,WR_14,EMA_12,EMA_50
1990-03-28,437.0,439.20001220703125,435.70001220703125,436.70001220703125,436.70001220703125,132260000,438.88999938964844,435.61999969482423,433.6366663614909,2.258820974804962,2.291154823924839,-0.03233384911987702,-35.5139653810283,437.32873435372056,435.62555073439603
1990-03-29,436.20001220703125,436.70001220703125,434.6000061035156,435.3999938964844,435.3999938964844,124190000,438.93999938964845,436.16500091552734,433.26000010172527,1.937641264982915,2.220452112136454,-0.2828108471535393,-65.3464508877313,437.0320050526073,435.61670536820344
1990-03-30,434.70001220703125,436.0,433.20001220703125,435.5,435.5,126630000,438.6699981689453,436.575,432.83500010172526,1.6719010531237473,2.1107419003339127,-0.4388408472101655,-78.21795042241264,436.7963119675908,435.6121286870974
1990-04-02,431.6000061035156,434.1000061035156,430.79998779296875,433.20001220703125,433.20001220703125,111380000,437.9999969482422,436.8,432.43666687011716,1.2611722192864931,1.9408279641244288,-0.6796557448379357,-77.22778858821113,436.24303508135085,435.5175358839576
1990-04-03,434.70001220703125,437.70001220703125,434.0,437.70001220703125,437.70001220703125,134750000,437.0299987792969,436.95,432.02000020345054,1.2839781503907943,1.809458001377702,-0.5254798509869076,-80.7998046875,436.4671854083786,435.6031231907448
1990-04-04,438.20001220703125,438.29998779296875,434.8999938964844,435.3999938964844,435.3999938964844,138380000,436.7899993896484,437.2200012207031,431.6700002034505,1.103736571350396,1.668313715372241,-0.564577144021845,-44.7998046875,436.30300209885644,435.5951573360679
1990-04-05,433.4200134277344,433.4200134277344,433.4200134277344,433.4200134277344,433.4200134277344,134240000,436.4,437.36500091552733,431.3133336385091,0.7919963045511622,1.4930502332080253,-0.7010539286568631,-63.199951171875,435.8594653802223,435.5098575749568
1990-04-06,433.0,433.8999938964844,430.6000061035156,430.8999938964844,430.8999938964844,136570000,436.29200134277346,437.21100158691405,431.02533365885415,0.3377025567933174,1.2619806979250838,-0.9242781411317664,-79.039794921875,435.0964697673395,435.3290786071736
1990-04-09,430.6000061035156,431.20001220703125,429.8999938964844,430.20001220703125,430.20001220703125,112370000,435.652001953125,436.91600189208987,430.72533365885414,-0.07791305051512154,0.9940019482370428,-1.0719149987521643,-97.63788798831199,434.3431686042151,435.12793874834443
1990-04-10,430.0,432.1000061035156,429.8999938964844,431.8999938964844,431.8999938964844,129500000,434.79200439453126,436.59600219726565,430.56700032552084,-0.2670388411221438,0.7417937903652055,-1.0088326314873495,-97.27256081321023,433.96729557225655,435.0013526757225
1990-04-11,432.6000061035156,433.79998779296875,432.29998779296875,433.5,433.5,133820000,434.03200378417966,436.46100158691405,430.48866678873696,-0.2845353258913974,0.536527967113885,-0.8210632930052824,-80.19803176847748,433.8954039457555,434.942476100204
1990-04-12,435.1000061035156,436.79998779296875,434.29998779296875,436.29998779296875,436.29998779296875,141410000,433.7120025634766,436.3260009765625,430.3769999186198,-0.07163998060605081,0.41489437756989783,-0.48653435817594864,-64.3563967524482,434.26533992224984,434.9957118528614
1990-04-16,438.3999938964844,438.5,436.20001220703125,436.70001220703125,436.70001220703125,124650000,433.802001953125,436.23600006103516,430.3369995117188,0.1278855563444381,0.3574926133248059,-0.22960705698036782,-36.633762089939175,434.63990488913925,435.0625471608681
1990-04-17,434.0,435.8999938964844,433.5,435.3999938964844,435.3999938964844,136450000,433.9220031738281,435.9610000610352,430.32366638183595,0.17904643309861967,0.3218033772795687,-0.14275694418094903,-30.612187701438994,434.7568416595,435.0757803661864
